Issue_ID,Date,Role_Type,Location_Block,Location_Room,Equipment,User_Complaint_Text,Actual_Diagnosed_Problem,Fix_Action_Taken,Time_Taken_Hours,Cost_INR,Parts_Replaced,Urgency_Level,Status
LPU-MAINT-2022-0027,2022-05-14,Student,GH-1,Ground Floor Dining Hall,Water Cooler (Voltas Minimagic),"Water cooler not cooling, compressor getting very hot and cutting off","Start capacitor weakened to 15uF, compressor failing to build starting torque",Installed new 60uF heavy-duty start capacitor and cleaned lower air vents,1.5,1200,60uF Start Capacitor,High,Resolved
LPU-MAINT-2022-0028,2022-05-15,Student,GH-4,A-102,Split AC (Voltas 1.5T),"AC is not cooling, compressor making humming noise and tripping switch",Burnt start capacitor and cracked motor terminals on outdoor unit,Replaced 50uF run capacitor and crimped new insulated spade terminals,2.0,1850,50uF Motor Run Capacitor,High,Resolved
LPU-MAINT-2022-0029,2022-05-16,Student,BH-1,Lift-1 (Main Lobby),KONE Elevator (Model MonoSpace 500),"Lift stopping 3 inches above floor level on 2nd floor, students tripping while exiting",Landing door leveling zone vane optical sensor misaligned due to bracket loose bolts,"Realigned floor leveling sensor assembly, tightened mounting bolts, re-tuned floor approach curve",3.0,4800,Leveling Sensor Bracket Kit,High,Resolved
LPU-MAINT-2022-0030,2022-05-18,Student,BH-2,1st Floor Mess,Water Cooler (Voltas Minimagic),Water cooler tap is loose and water leaking on floor continuously,Damaged internal plastic push tap threads on front dispenser panel,Replaced with heavy-duty chrome-plated brass spring tap,1.0,600,Brass Chrome Push Tap,Low,Resolved
LPU-MAINT-2022-0031,2022-05-18,Faculty,Block-32,Lift-1 (CSE Wing),KONE Elevator (Model MonoSpace 500),"Lift jerky when descending from 4th floor to 3rd floor, sudden deceleration sensation",V3F16L inverter drive motor parameter slip compensation out of tune with worn traction sheaves,"Re-tuned KONE V3F drive motor parameter matrix, measured rope slip ratio, checked traction groove wear",4.0,9200,Traction Cable Service & Tuning,High,Resolved
LPU-MAINT-2022-0032,2022-05-20,Student,GH-3,A-108,Split AC (Voltas 1.5T),AC fan speed is very slow and cooling is minimal in room,Blower motor capacitor degraded (1.0uF instead of 2.5uF),"Replaced 2.5uF indoor fan motor capacitor, washed evaporator mesh filters",1.5,900,2.5uF Fan Motor Capacitor,Medium,Resolved
LPU-MAINT-2022-0033,2022-05-24,Student,BH-5,Mess-1,Water Cooler (Blue Star),"Drinking water is not at all cold during lunch rush, compressor is cutting off every 2 minutes",Compressor short-cycling due to high ambient temperature (43C) and clogged condenser fins,"Straightened condenser fins, cleaned fin dust, flushed water lines, and verified compressor current draw",3.0,1200,None,High,Resolved
LPU-MAINT-2022-0034,2022-05-29,Lab_Technician,Block-38,Server Room-1,Split AC (Daikin 1.5T),"Server room primary AC tripped, room temperature reached 28C, server fans spinning at full speed","Outdoor condenser coil heavily choked with dust, high pressure (HP) safety switch tripped at 420 PSI","Pressure-washed outdoor condenser coils, vacuumed debris from fan shroud, reset manual HP switch",2.5,1600,None,Critical,Resolved
LPU-MAINT-2022-0035,2022-06-02,Student,BH-1,D-201,Split AC (Blue Star 1.5T),"AC was cooling nicely last week but now only throwing warm air, fan is working fine",Refrigerant leak from cracked brass flare nut on 1/2 inch vapor suction line; gas lost completely,"Cut oxidized copper tube, formed precision 45-degree flare, installed forged brass flare nut, nitrogen leak tested at 350 PSI, evacuated and charged 720g R32",4.0,3600,Brass Flare Nut & R32 Gas (720g),High,Resolved
LPU-MAINT-2022-0036,2022-06-11,Student,GH-2,A-104,Split AC (Voltas 1.5T),"AC indoor unit blowing normal warm air, compressor outside is not running",Dual run capacitor (45+5 uF) shorted internally from voltage surge,Replaced 45+5 uF dual capacitor and inspected outdoor wiring terminals,1.5,1750,45+5 uF Dual Run Capacitor,High,Resolved
LPU-MAINT-2022-0037,2022-06-12,Warden,BH-5,3rd Floor Wing-C,Water Cooler (Voltas Minimagic),"Cooler stopped cooling completely, burning smell noticed near bottom panel",Burnt PTC starter relay and run capacitor due to fluctuating supply voltage,Replaced PTC starter relay and run capacitor; inspected terminal wiring harness,2.0,1850,PTC Relay and Run Capacitor,High,Resolved
LPU-MAINT-2022-0038,2022-06-15,Student,BH-3,Lift-1 (Main),KONE Elevator (Model MonoSpace 500),"Lift doors stuck halfway while closing on 1st floor, making clicking sound","Door drive clutch skate rollers misaligned, jamming in landing door pickup rollers","Realigned car door clutch mechanism, lubricated pickup rollers, tested 25 door cycles",3.0,4600,Door Clutch Roller Assembly,High,Resolved
LPU-MAINT-2022-0039,2022-06-18,Faculty,Uni-Hospital,ICU-Ward-2,UPS System (APC Smart-UPS 3000VA),ICU ventilator UPS beeping continuously and fault red LED on front panel glowing,Internal VRLA battery string degraded with cell impedance high; DC bus voltage dropped below 42V under load,"Hot-swapped 4x 12V 9Ah sealed lead-acid battery cartridge, calibrated UPS battery runtime curve",2.0,8400,APC Replacement Battery Cartridge (RBC),Critical,Resolved
LPU-MAINT-2022-0040,2022-06-19,Student,BH-2,C-302,Split AC (Voltas 1.5T),"AC is not cooling, air coming out is hot, outdoor fan is spinning very fast",Faulty compressor run capacitor (20uF reading instead of 50uF),Replaced 50uF motor run capacitor and vacuumed outdoor heat exchanger,2.0,1600,50uF Motor Run Capacitor,High,Resolved
LPU-MAINT-2022-0041,2022-06-20,Student,GH-4,Lift-1 (Main),Otis Elevator (Gen2),Lift doors bouncing back when closing on 2nd floor even though nobody is there,Infrared optical curtain sensor lenses obscured with thick dust cobwebs,"Cleaned optical sensor lenses on both door edges, realigned transmitter beam array",1.5,2400,None,High,Resolved
LPU-MAINT-2022-0042,2022-06-25,Student,GH-1,C-312,Split AC (Blue Star 1.5T),Water is overflowing from AC indoor unit and dripping all over my study table and books,"Indoor condensation drain tray choked with fungal algae slime, blocking gravity drain outlet","Flushed drain pipe with pressurized nitrogen, treated condensate tray with antimicrobial tablet",1.5,850,None,High,Resolved
LPU-MAINT-2022-0043,2022-06-28,Student,BH-4,B-212,Split AC (Daikin 1.5T),AC outdoor unit making very loud buzzing sound and vibration transferring into room wall,Compressor vibration dampener rubber grommets perished and cracked,Installed set of high-density rubber compressor mounting bushes,2.0,1200,Compressor Mounting Grommets,Medium,Resolved
LPU-MAINT-2022-0044,2022-07-08,Student,GH-1,B-205,Split AC (Voltas 1.5T),"AC is running but not cooling the room, only slight breeze coming out",Clogged mesh air filters and condenser coil covered in dust; refrigerant pressure normal,"Thoroughly washed air filters, chemically cleaned outdoor condenser, verified 18C air throw",1.5,800,None,Medium,Resolved
LPU-MAINT-2022-0045,2022-07-14,Warden,BH-2,Lift-1 (Central Wing),Otis Elevator (Gen2),Otis lift jerky during acceleration and making squeaking belt sound in shaft,Polyurethane coated steel flat belts exhibiting minor surface glazing and pulley groove dust,"Cleaned drive sheave grooves, inspected Gen2 pulse belt monitoring system, tension balanced",4.0,9500,Belt Cleaning & Alignment Kit,High,Resolved
LPU-MAINT-2022-0046,2022-07-15,Warden,BH-5,Turnstile Gate-2,Biometric Scanner (Suprema BioEntry W2),Outdoor biometric turnstile not communicating with hostel attendance server,RJ45 PoE Ethernet port pins corroded from rainwater moisture seepage into backplate,"Re-terminated waterproof CAT6 RJ45 connector, applied silicone sealant around cable entry gland",1.5,850,Waterproof RJ45 Connector Gland,High,Resolved
LPU-MAINT-2022-0047,2022-07-19,Faculty,Block-34,Room-34-101,Split AC (Daikin 1.5T),Daikin AC display blinking error code C9 and indoor unit shuts off after 5 mins,Indoor room temperature thermistor drifted out of calibration (open circuit at high humidity),"Replaced indoor coil and ambient thermistor assembly, coated PCB connectors with conformal sealant",2.0,2250,Daikin Thermistor Sensor Harness,Medium,Resolved
LPU-MAINT-2022-0048,2022-07-22,Faculty,Block-33,Room-33-202,Projector (Epson EB-X51),Projector fan is running on maximum noise level and image shuts off after 15 mins,"Internal thermal sensor thermistor clogged with thick dust blanket, signaling false over-temperature","Cleaned intake dust filters, blown internal optical engine with clean compressed air, reset sensor",1.5,1100,None,Medium,Resolved
LPU-MAINT-2022-0049,2022-07-30,Student,BH-5,A-101,Split AC (Daikin 1.5T),Daikin AC remote display blinking and AC turning off with error code A6,Indoor blower fan motor locked by foreign thread accumulation and bearing seizure,"Dismantled indoor casing, removed tangled threads, lubricated sleeve bearing, reassembled",2.5,1200,None,Medium,Resolved
LPU-MAINT-2022-0050,2022-08-04,Student,BH-5,B-204,Split AC (Voltas 1.5T),AC cooling is very poor again and thin ice forming on copper pipes behind outdoor grill,Refrigerant R32 slow leak from flared suction service valve nut; system pressure at 65 PSI,"Flared copper pipe connection re-cut and tightened to 42 Nm, vacuumed system, recharged 650g R32 gas",3.5,3400,R32 Refrigerant Gas (650g),Medium,Resolved
LPU-MAINT-2022-0051,2022-08-11,Warden,BH-1,Turnstile Entry,Biometric Scanner (Mantra MFS100),Biometric attendance device rejecting thumb impressions with smudge error,Silicon membrane over optical sensor worn and abraded from repeated student usage,Replaced optical silicone prism protective film and cleaned optical window,1.0,400,Silicone Sensor Film,Medium,Resolved
LPU-MAINT-2022-0052,2022-08-16,Lab_Technician,Block-25,Lab-25-201,Lab Power Distribution Unit,Lab PDU breaker tripped when 30 student computers booted simultaneously,PDU main 63A triple pole MCB thermal trip threshold degraded from repeated inrush currents,Replaced 63A C-curve 3-phase MCB with industrial D-curve motor/inrush rated MCB,2.5,4200,Schneider 63A D-Curve 3P MCB,Critical,Resolved
LPU-MAINT-2022-0053,2022-08-20,Warden,BH-4,Lift-1 (Main),Otis Elevator (Gen2),"Lift stopped abruptly between 2nd and 3rd floor with 4 students inside, emergency bell rang",Hoistway safety circuit opened due to false trip of over-speed governor tension pulley switch,"Safely evacuated passengers, reset governor safety switch, lubricated pit tension weight guide",3.5,7500,Governor Tension Switch,Critical,Resolved
LPU-MAINT-2022-0054,2022-08-25,Faculty,Block-32,Room-32-104,"Smartboard (Promethean ActivPanel 75"")","Smartboard HDMI-1 port not detecting teacher laptop, showing no signal",HDMI port 1 connector physical pins bent and cracked solder joints on PCB,Replaced surface-mount HDMI female receptacle connector and reflowed signal pins,2.0,1850,HDMI SMD Receptacle,High,Resolved
LPU-MAINT-2022-0055,2022-08-30,Lab_Technician,Uni-Hospital,DG Yard,Generator (Cummins 82.5kVA),DG set engine hunting and fluctuating between 1400 and 1650 RPM with heavy black smoke,Electronic fuel governor actuator sticking due to diesel fuel varnish buildup and choked primary fuel filter,"Cleaned electronic governor linkage, replaced primary and secondary diesel fuel spin-on filters, bled fuel line",4.0,11200,Fleetguard Fuel Filter Set & Cleaner,High,Resolved
LPU-MAINT-2022-0056,2022-09-02,Faculty,Block-34,Lift-1 (Main),KONE Elevator (Model MonoSpace 500),Lift car shaking violently while approaching 5th floor landing,"Counterweight roller guide shoes misaligned, causing excessive lateral sway against guide rails","Re-aligned counterweight roller guide shoes, adjusted spring tension dampers, lubricated guide rails",4.0,8500,Counterweight Roller Guide Bushings,High,Resolved
LPU-MAINT-2022-0057,2022-09-05,Student,BH-5,2nd Floor Wing-B,RO Water Purifier (Aquaguard Enhance),Water has strange bitter chemical taste and foul smell from dispenser tap,Post-carbon filter exhausted and mineral cartridge clogged with biofilm,"Sanitized storage tank with chlorine tablet, replaced post-carbon cartridge and mineralizer",1.5,1450,Post-Carbon Cartridge & Mineral Filter,High,Resolved
LPU-MAINT-2022-0058,2022-09-10,Warden,GH-3,Lift-1 (Main),Otis Elevator (Gen2),Lift stopping with jerk at 3rd floor and doors taking 15 seconds to open,Car door vane interlock clutch rollers dry and sticking against landing door locks,"Lubricated door interlock roller bearings, adjusted door motor torque setting",2.5,3800,Door Roller Bearings,High,Resolved
LPU-MAINT-2022-0059,2022-09-12,Warden,BH-4,Turnstile Entry Gate,Biometric Scanner (Mantra MFS100),Biometric device showing error 1001 (device communication failure),Damaged USB connector pin 1 (+5V VBUS pin bent inside socket),Straightened USB connector contact pins and anchored cable with cable clamp,1.0,350,None,Medium,Resolved
LPU-MAINT-2022-0060,2022-09-15,Lab_Technician,Block-26,Lab-26-101,Network Switch (Cisco Catalyst 2960),"Network switch fan making extremely loud grinding noise, temperature warning LED amber",Exhaust cooling fan dual ball bearings seized from continuous lab dust exposure,Replaced 40mm 12V brushless DC fan module and cleared internal heatsink fins,2.0,1850,Cisco 40mm Blower Fan Assembly,High,Resolved
LPU-MAINT-2022-0061,2022-09-18,Student,GH-1,C-312,Split AC (Blue Star 1.5T),AC started leaking water again from left corner of the indoor unit,Drain pipe sagged behind indoor unit mounting plate creating reverse gradient air lock,"Re-routed corrugated flexible drain pipe with positive downward gradient, re-leveled indoor unit bracket",2.0,950,Flexible Drain Pipe 2m,High,Resolved
LPU-MAINT-2022-0062,2022-09-22,Faculty,Block-32,Room-32-305,Projector (BenQ MX550),"Screen display went black after loud pop sound, lamp indicator glowing solid red",Lamp explosion inside housing caused by blocked exhaust ventilation and thermal shock,"Removed shattered lamp assembly, vacuumed quartz shards from light tunnel, and installed new lamp module",2.5,6200,BenQ Lamp Module 5J.JND05.001,High,Resolved
LPU-MAINT-2022-0063,2022-10-02,Student,BH-2,A-108,Split AC (Voltas 1.5T),Loud rattling noise coming from AC whenever fan speed is set to medium or high,"Blower wheel dynamic balance weights dislodged, causing eccentric rotational vibration","Replaced plastic tangential blower wheel assembly, balanced rotor, and tested at max RPM",3.0,1950,Cross-Flow Blower Wheel,Medium,Resolved
LPU-MAINT-2022-0064,2022-10-10,Lab_Technician,Block-38,Server Rack-38A,Network Switch (Cisco Catalyst 2960),"Network switch suddenly lost power, server room cluster nodes isolated",Primary internal switch-mode power supply (SMPS) module blown due to power line transient,Replaced internal Cisco power supply module and tested 12V/5V regulated DC rails,2.5,4600,Cisco Internal SMPS Power Supply,Critical,Resolved
LPU-MAINT-2022-0065,2022-10-14,Faculty,Block-33,Lift-1 (Main),Otis Elevator (Gen2),"Elevator cabin landing 4 inches below floor level at 3rd floor, jerk felt while stopping",Position reference sensor encoder reading drift due to magnetic tape contamination,"Cleaned hoistway magnetic tape strip, recalibrated elevator car floor positioning controller",3.0,5200,Hoistway Magnetic Tape & Sensor,High,Resolved
LPU-MAINT-2022-0066,2022-10-18,Warden,GH-2,Lift-2 (North Wing),KONE Elevator (Model MonoSpace 500),"Elevator door bounced back and hit a student's shoulder, door sensor not detecting persons entering",Defective multi-beam infrared door detector curtain with failed lower beam emitter cluster,"Replaced multi-beam electronic door sensor curtain, performed dynamic obstruction reversal test",4.0,7800,KONE Door Light Curtain Assembly,Critical,Resolved
LPU-MAINT-2022-0067,2022-10-25,Lab_Technician,Block-34,Lab-34-102,Lab Power Distribution Unit,Main incoming MCB for computer lab tripping on startup of air conditioners and PCs,Phases unbalanced: Phase R pulling 58A while Phase B pulling only 18A on 63A main,Re-distributed single-phase lab circuit breakers across all 3 phases uniformly (approx 32A per phase),3.0,2100,Busbar Phase Jumpers,High,Resolved
LPU-MAINT-2022-0068,2022-10-28,Warden,Uni-Hospital,Main Pharmacy Store,RO Water Purifier (Kent Grand),Pharmacy water purifier water tasting bitter and TDS meter showing 380 ppm,RO membrane fouled with mineral salts and post-carbon filter clogged with fine particles,Replaced 100 GPD high-recovery RO membrane and inline post-carbon bacteriostatic filter,2.0,2400,100 GPD RO Membrane & Post-Carbon,High,Resolved
LPU-MAINT-2022-0069,2022-11-04,Faculty,Block-25,Lift-1 (Main),Otis Elevator (Gen2),"Lift stopping with jerk at 2nd floor, leveling display blinking error code",Landing door interlock contact switch carbonized from continuous passenger traffic,"Replaced landing door interlock microswitch, adjusted roller clearance to 6mm",2.5,4800,Landing Door Interlock Switch,High,Resolved
LPU-MAINT-2022-0070,2022-11-12,Warden,BH-5,Lift-2 (West Wing),KONE Elevator (Model MonoSpace 500),"Lift-2 display showing F5 error and car trapped on 5th floor, no passengers inside",Shaft positioning encoder tape magnetic sensor coated with ferrous dust,"Cleaned magnetic reader strip down elevator hoistway, replaced magnetic reader head",3.5,5200,KONE Position Reader Sensor,High,Resolved
LPU-MAINT-2022-0071,2022-11-15,Student,BH-4,A-102,Geyser (Racold 25L),"Geyser water is boiling hot and steam coming out of tap, very dangerous plz check immediately","Stem-type operating thermostat contacts welded closed, causing thermal cutout switch to trip on over-temperature","Replaced faulty bimetallic stem thermostat (75C), reset manual safety cutoff, and inspected pressure release valve",1.5,950,Racold Stem Thermostat,Critical,Resolved
LPU-MAINT-2022-0072,2022-11-18,Lab_Technician,Block-32,Server Room-32,Network Switch (Cisco Catalyst 2960),Core distribution switch port Gigabit 0/1 uplinking to central datacenter flapping continuously,SFP 1000BASE-SX optical transceiver laser output power degraded below -12 dBm,Replaced Cisco GLC-SX-MM SFP optical transceiver module and cleaned LC fiber patch endfaces,2.0,4800,Cisco GLC-SX-MM SFP Transceiver,Critical,Resolved
LPU-MAINT-2022-0073,2022-11-20,Lab_Technician,Uni-Hospital,Pathology Lab,UPS System (APC Smart-UPS 3000VA),Blood analyzer UPS emitting high pitched whine and smell of hot plastic in pathology lab,Swollen DC filter electrolytic capacitors and failed cooling fan on main power inverter board,Replaced inverter board filter capacitors and installed high-speed ball bearing DC cooling fan,3.5,6800,Electrolytic Capacitors & 24V Fan,High,Resolved
LPU-MAINT-2022-0074,2022-11-20,Student,BH-3,A-204,Geyser (Racold 25L),"Geyser taking more than 1 hour to heat water in winter, water only lukewarm",Heavy limescale deposit encasing heating element tube preventing heat transfer,"Removed and descaled element, flushed tank sediment, replaced magnesium anode",2.5,1400,Magnesium Sacrificial Anode,High,Resolved
LPU-MAINT-2022-0075,2022-11-25,Student,GH-3,A-201,Geyser (Racold 25L),"Geyser water takes more than 50 minutes to get warm, power bill very high",Element heavily calcified with 4mm thick scale layer,"Removed heating element, acid descaled tank, installed new sacrificial anode",2.5,1400,Magnesium Sacrificial Anode,High,Resolved
LPU-MAINT-2022-0076,2022-11-28,Student,BH-1,A-104,Geyser (Racold 25L),Geyser making boiling kettle whistling noise and steam sputtering out of faucet,Excessive calcium scaling on heating element sheath causing localized overheating and thermal stress,"Dismantled element, descaled tank with sulfamic acid solution, installed new anode rod",2.5,1250,Magnesium Sacrificial Anode,High,Resolved
LPU-MAINT-2022-0077,2022-12-04,Student,GH-1,A-106,Geyser (Racold 25L),"Geyser water is not getting hot in morning, indicator light stays off",Manual reset thermal cutout tripped due to temporary dry run condition,"Reset thermal cutout switch, checked cold water supply pressure, inspected element",1.0,400,None,High,Resolved
